id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2022-01-02 20:00:00;11845.64999999
S;SUL;2022-01-02 20:00:00;13644.18600000
SE;SUDESTE;2022-01-02 20:00:00;41788.65399999
N;NORTE;2022-01-02 21:00:00;6113.48399999
NE;NORDESTE;2022-01-02 21:00:00;11875.96000000
S;SUL;2022-01-02 21:00:00;13569.80400000
SE;SUDESTE;2022-01-02 21:00:00;41047.37999999
N;NORTE;2022-01-02 22:00:00;6228.03500000
NE;NORDESTE;2022-01-02 22:00:00;11807.10000000
S;SUL;2022-01-02 22:00:00;13469.66700000
SE;SUDESTE;2022-01-02 22:00:00;39738.11199999
N;NORTE;2022-01-02 23:00:00;6231.95999999
NE;NORDESTE;2022-01-02 23:00:00;11511.90700000
S;SUL;2022-01-02 23:00:00;13045.14100000
SE;SUDESTE;2022-01-02 23:00:00;37981.64800000
N;NORTE;2022-01-03 00:00:00;6245.62500000
NE;NORDESTE;2022-01-03 00:00:00;11230.56499999
S;SUL;2022-01-03 00:00:00;12439.06499999
SE;SUDESTE;2022-01-03 00:00:00;35942.26200000
N;NORTE;2022-01-03 01:00:00;6169.81799999
NE;NORDESTE;2022-01-03 01:00:00;10840.59099999
S;SUL;2022-01-03 01:00:00;11947.92100000
SE;SUDESTE;2022-01-03 01:00:00;34490.93599999
N;NORTE;2022-01-03 02:00:00;6062.53500000
NE;NORDESTE;2022-01-03 02:00:00;10579.15800000
S;SUL;2022-01-03 02:00:00;11620.19400000
SE;SUDESTE;2022-01-03 02:00:00;33471.75700000
N;NORTE;2022-01-03 03:00:00;5941.14799999
NE;NORDESTE;2022-01-03 03:00:00;10463.94100000
S;SUL;2022-01-03 03:00:00;11393.45900000
SE;SUDESTE;2022-01-03 03:00:00;32889.32999999
N;NORTE;2022-01-03 04:00:00;5882.95000000
NE;NORDESTE;2022-01-03 04:00:00;10301.92600000
S;SUL;2022-01-03 04:00:00;11288.91100000
SE;SUDESTE;2022-01-03 04:00:00;32894.07500000
N;NORTE;2022-01-03 05:00:00;5795.70599999
NE;NORDESTE;2022-01-03 05:00:00;9727.22699999
S;SUL;2022-01-03 05:00:00;11233.51800000
SE;SUDESTE;2022-01-03 05:00:00;33130.07499999
N;NORTE;2022-01-03 06:00:00;5562.97700000
NE;NORDESTE;2022-01-03 06:00:00;9494.09600000
S;SUL;2022-01-03 06:00:00;11294.71500000
SE;SUDESTE;2022-01-03 06:00:00;34110.75999999
N;NORTE;2022-01-03 07:00:00;5482.71900000
NE;NORDESTE;2022-01-03 07:00:00;9950.98000000
